"","Hypothesis","Estimate","Est.Error","CI.Lower","CI.Upper","Evid.Ratio","Post.Prob","Star","Experiment"
"1","(muCompromise_Intercept) > 0","2.26","0.27","1.83","2.71",">100","1.00","*","Experiment 1"
"2","(muCopy_Intercept) < 0","-5.23","0.91","-6.78","-3.84",">100","1.00","*","Experiment 1"
"3","(muCompromise_interaction_fLH) > 0","1.42","0.28","0.99","1.88",">100","1.00","*","Experiment 1"
"4","(muCompromise_interaction_fHL) < 0","-0.56","0.26","-1.00","-0.13","60.22","0.98","*","Experiment 1"
"5","(muCompromise_interaction_fHH) > 0","-0.08","0.26","-0.51","0.35","0.60","0.37","","Experiment 1"
"6","(muCopy_interaction_fLH) > 0","2.71","0.68","1.65","3.86",">100","1.00","*","Experiment 1"
"7","(muCopy_interaction_fHL) > 0","0.43","0.74","-0.78","1.64","2.51","0.72","","Experiment 1"
"8","(muCopy_interaction_fHH) > 0","1.41","0.73","0.23","2.64","42.17","0.98","*","Experiment 1"
