"","Hypothesis","Estimate","Est.Error","CI.Lower","CI.Upper","Evid.Ratio","Post.Prob","Star","Experiment"
"1","(muCompromise_Intercept) > 0",1.44514255602395,0.281867344002133,0.974641559570905,1.91090441427185,Inf,1,"*","Experiment 2"
"2","(muCopy_Intercept) < 0",-7.7264476998792,1.34240278595554,-10.1035883121981,-5.76503047654135,Inf,1,"*","Experiment 2"
"3","(muCompromise_interaction_fLH) > 0",0.876234369093663,0.198605526929363,0.54797844241661,1.2067868984096,Inf,1,"*","Experiment 2"
"4","(muCompromise_interaction_fHL) < 0",-0.240947284529183,0.195696883169612,-0.566435023123568,0.0747918357751579,8.24499229583975,0.891833333333333,"","Experiment 2"
"5","(muCompromise_interaction_fHH) > 0",0.636972407623492,0.193779513703851,0.318160751025391,0.954389038629592,1999,0.9995,"*","Experiment 2"
"6","(muCopy_interaction_fLH) > 0",1.40591235145048,0.503500733847094,0.589385638696994,2.22730226362363,460.538461538462,0.997833333333333,"*","Experiment 2"
"7","(muCopy_interaction_fHL) < 0",-0.654916337518192,0.550381511767883,-1.56781290696568,0.240899836787685,7.69565217391304,0.885,"","Experiment 2"
"8","(muCopy_interaction_fHH) > 0",0.394346216095072,0.506323671268348,-0.44314774209082,1.21093749619568,3.6875,0.786666666666667,"","Experiment 2"
