"ID","e1","e2","treatment","nAnimals","social_info","s","period","confidence","social_confidence","confidenceTreatment","uncertainty","confidence_treatments","confidence_self_category","confidence_self_factor","social_confidence_factor","norm1","under","under_factor","copy","stay"
14,91,72,0,57,72,1,5,7,7,3,"30%","High",3,"High","7",1.59649122807018,1,"overestimate",1,0
14,88,103,1,94,103,1,6,7,7,3,"100%","High",3,"High","7",0.936170212765957,-1,"underestimate",1,0
14,84,72,0,44,72,1,7,7,1,1,"30%","Low",3,"High","1",1.90909090909091,1,"overestimate",1,0
14,75,88,1,76,88,1,8,6,2,1,"100%","Low",2,"Medium","2",0.986842105263158,-1,"underestimate",1,0
14,78,97,0,98,97,1,9,6,2,1,"30%","Low",2,"Medium","2",0.795918367346939,-1,"underestimate",1,0
14,81,66,1,62,65,0.9375,10,6,8,3,"100%","High",2,"Medium","8",1.30645161290323,1,"overestimate",0,0
14,75,90,1,93,90,1,11,6,6,2,"100%","Medium",2,"Medium","6",0.806451612903226,-1,"underestimate",1,0
14,84,94,1,84,94,1,12,7,5,2,"100%","Medium",3,"High","5",1,0,"correct",1,0
14,92,74,0,58,74,1,13,7,1,1,"30%","Low",3,"High","1",1.58620689655172,1,"overestimate",1,0
14,80,63,1,79,63,1,14,3,7,3,"100%","High",1,"Low","7",1.0126582278481,1,"overestimate",1,0
14,78,63,1,57,63,1,15,6,3,1,"100%","Low",2,"Medium","3",1.36842105263158,1,"overestimate",1,0
14,84,99,0,94,100,0.9375,16,7,9,3,"30%","High",3,"High","9",0.893617021276596,-1,"underestimate",0,0
14,94,75,0,44,75,1,17,7,9,3,"30%","High",3,"High","9",2.13636363636364,1,"overestimate",1,0
14,90,72,0,76,72,1,18,7,3,1,"30%","Low",3,"High","3",1.18421052631579,1,"overestimate",1,0
14,69,84,1,98,84,1,19,6,4,1,"100%","Low",2,"Medium","4",0.704081632653061,-1,"underestimate",1,0
14,88,70,0,62,70,1,20,6,3,1,"30%","Low",2,"Medium","3",1.41935483870968,1,"overestimate",1,0
15,42,48,1,93,52,0.6,1,7,6,2,"100%","Medium",3,"High","6",0.451612903225806,-1,"underestimate",0,0
15,32,33,0,84,34,0.5,2,9,10,3,"30%","High",3,"High","10",0.380952380952381,-1,"underestimate",0,0
15,47,48,1,58,55,0.125,3,8,4,1,"100%","Low",3,"High","4",0.810344827586207,-1,"underestimate",0,0
15,26,28,0,79,41,0.133333333333333,4,7,9,3,"30%","High",3,"High","9",0.329113924050633,-1,"underestimate",0,0
15,59,55,1,57,47,0.333333333333333,5,6,1,1,"100%","Low",2,"Medium","1",1.03508771929825,1,"overestimate",0,0
15,48,49,1,94,57,0.111111111111111,6,6,6,2,"100%","Medium",2,"Medium","6",0.51063829787234,-1,"underestimate",0,0
15,40,41,1,44,48,0.125,7,8,9,3,"100%","High",3,"High","9",0.909090909090909,-1,"underestimate",0,0
15,35,35,0,76,40,0,8,7,10,3,"30%","High",3,"High","10",0.460526315789474,-1,"underestimate",0,1
15,39,41,0,98,53,0.142857142857143,9,6,4,1,"30%","Low",2,"Medium","4",0.397959183673469,-1,"underestimate",0,0
15,22,23,0,62,35,0.0769230769230769,10,8,5,2,"30%","Medium",3,"High","5",0.354838709677419,-1,"underestimate",0,0
15,79,81,1,93,110,0.0645161290322581,11,8,4,1,"100%","Low",3,"High","4",0.849462365591398,-1,"underestimate",0,0
15,35,35,0,84,47,0,12,10,9,3,"30%","High",3,"High","9",0.416666666666667,-1,"underestimate",0,1
15,31,30,0,58,40,-0.111111111111111,13,9,6,2,"30%","Medium",3,"High","6",0.53448275862069,-1,"underestimate",0,0
15,58,60,0,79,67,0.222222222222222,14,9,9,3,"30%","High",3,"High","9",0.734177215189873,-1,"underestimate",0,0
15,22,23,0,57,30,0.125,15,9,7,3,"30%","High",3,"High","7",0.385964912280702,-1,"underestimate",0,0
15,75,77,1,94,90,0.133333333333333,16,8,3,1,"100%","Low",3,"High","3",0.797872340425532,-1,"underestimate",0,0
15,13,14,0,44,16,0.333333333333333,17,9,9,3,"30%","High",3,"High","9",0.295454545454545,-1,"underestimate",0,0
15,57,58,1,76,68,0.0909090909090909,18,8,4,1,"100%","Low",3,"High","4",0.75,-1,"underestimate",0,0
15,95,99,1,98,116,0.19047619047619,19,6,4,1,"100%","Low",2,"Medium","4",0.969387755102041,-1,"underestimate",0,0
15,37,41,1,62,46,0.444444444444444,20,7,2,1,"100%","Low",3,"High","2",0.596774193548387,-1,"underestimate",0,0
16,71,75,1,93,84,0.307692307692308,1,7,8,3,"100%","High",3,"High","8",0.763440860215054,-1,"underestimate",0,0
