playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_248374ready,wait_248375ready,wait_248376ready,wait_248377ready,wait_248378ready,wait_248379ready,wait_248380ready,wait_248381ready,wait_248382ready,wait_248383ready,wait_248384ready,wait_248385ready,wait_248386ready,wait_248388ready,wait_248389ready,wait_248390ready,wait_248391ready,wait_248392ready,wait_248393ready,wait_248394ready,wait_248395ready,wait_248396ready,wait_248397ready,wait_248398ready,wait_248399ready,wait_248400ready,wait_248401ready,wait_248402ready,wait_248403ready,wait_248404ready,wait_248405ready,wait_248406ready,wait_248520ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
15,0,0,0,0,20,Collect payment,0,1604002879,1604002901,c3a978ede2f6e577bc375534ba9b5943,192.209.17,35.2924#-86.6447,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
16,0,0,0,0,20,Collect payment,0,1604000564,1604000612,0d8308875491b43ddff1c12bb40615e7,63.160.143,37.751#-97.822,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
17,0,0,0,0,20,Collect payment,0,1604000729,1604001307,e8ba892644c40b2bf66d252191ff1a32,174.101.21,39.908#-83.8354,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
18,0,0,0,0,20,Collect payment,0,1604001088,1604001126,6223db1c8c41ad41da845114a7d24420,76.90.181.,33.8242#-118.268,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
19,0,0,0,0,20,Collect payment,0,1604001606,1604001628,1eb93190544c70e55a760ab47414ed9c,68.104.251,33.3289#-111.8658,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
20,0,0,0,0,20,Collect payment,0,1604003412,1604003431,b730a11017d965d5c36221e92888ff2f,66.44.33.1,38.9392#-77.0584,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
21,0,0,0,0,1,practicee2,0,1604002335,1604002363,c8549f3700f3c046ad9953abc85b8b30,47.148.184,34.0349#-117.6185,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
22,0,0,0,0,20,Collect payment,0,1604004030,1604004055,a369162174ae364579ee4bbf4a381be8,71.76.152.,36.0217#-79.7839,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
23,0,0,0,0,20,Collect payment,0,1604004383,1604004392,3b6dc640ceaaa4201a1fcfbbd4dde7d9,174.85.250,34.8287#-86.8889,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
24,0,0,0,0,1,Welcome,0,1604075554,1604075561,a60a01c06d4f29bc5d274fab7e128fa9,31.20.119.,51.3812#6.1737,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
25,0,0,0,0,20,Collect payment,0,1604076120,1604076136,211385a464b2efc33374525dcf84aba6,173.70.156,40.8219#-74.42,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
26,0,0,0,0,12,e1,0,1604076581,1604076599,d2edc0d03194884bf7acdb4b194a0176,97.81.225.,33.468#-87.0924,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
27,0,0,0,0,20,Collect payment,0,1604076856,1604076894,ba5c7d7e8313728ac2b7a5d491c77819,72.177.183,29.4812#-98.3435,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
28,0,0,0,0,20,Collect payment,0,1604076516,1604076560,b6e6f9b14af0b6ce748b9255fd058175,173.174.13,29.5738#-98.2292,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
29,0,0,0,0,20,Collect payment,0,1604076409,1604076431,936ac8435f95d0527f84c6f060d4075a,99.40.49.2,40.1113#-82.9717,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
30,0,0,0,0,20,Collect payment,0,1604076478,1604076512,74c72f01c1cbedcbde35a40ddccf4454,108.249.16,34.1911#-80.9758,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
31,0,0,0,0,20,Collect payment,0,1604076217,1604076233,fcc63d068b80b8e9b478c812290cb4d2,76.124.47.,39.9217#-75.287,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
32,0,0,0,0,20,Collect payment,0,1604076819,1604076894,6b5de1b23ccb53de308a6e484b30b787,108.205.23,34.8939#-81.834,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
33,0,0,0,0,20,Collect payment,0,1604076704,1604076747,c4efae69a04118d47738d2fe7160f355,174.246.1.,47.6131#-122.2053,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
34,0,0,0,0,20,Collect payment,0,1604078828,1604079138,6be1e156b9bd796e42c0485ece9d7886,98.229.66.,42.3364#-71.0326,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
35,0,0,0,0,20,Collect payment,0,1604076548,1604076572,344f724c3efc538d6fbb486d68d5b35a,73.130.82.,40.3356#-75.979,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
36,0,0,0,0,20,Collect payment,0,1604076261,1604076280,d684e0ba9d1b63d59532cd503d763610,38.68.52.1,37.751#-97.822,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
37,0,0,0,0,20,Collect payment,0,1604076708,1604076738,f813ada66755f047a172430cd57f10c0,50.25.66.1,37.7189#-82.1931,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
38,0,0,0,0,20,Collect payment,0,1604076915,1604077010,caa7c0b1bac1b042acb2aa5d336cab64,66.177.8.2,30.5518#-81.8181,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
39,0,0,0,0,20,Collect payment,0,1604076540,1604076631,eb300e2b81df3d89629ffa0d4d94d441,71.63.223.,45.5496#-122.5044,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
40,0,0,0,0,20,Collect payment,0,1604076984,1604077198,63df3df2a2dee970e5e1345226e291d9,196.17.64.,34.0544#-118.244,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
41,0,0,0,0,20,Collect payment,0,1604076851,1604076936,232b5acc784dc7f790df0d3b58fde818,108.210.16,38.687#-121.3477,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
42,0,0,0,0,1,Quiz,0,1604075963,1604075973,b01f310ca78c3861f4176d5998eb00d5,69.76.169.,38.9687#-94.5696,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
